Source,Target,Type,Id,Label,Weight,Color
맛없다,음식,Undirected,189,,22,"#ca0121"
맛없다,존나,Undirected,190,,22,"#ca0121"
맛없다,진짜,Undirected,191,,22,"#ca0121"
맛있다,맥주,Undirected,192,,106,"#d5354e"
맛있다,바베큐,Undirected,193,,76,"#d1223e"
맛있다,시장,Undirected,194,,27,"#ca0423"
맛있다,예산,Undirected,195,,60,"#cf1835"
맛있다,음식,Undirected,196,,30,"#cb0625"
맛있다,좋다,Undirected,197,,28,"#cb0424"
맛있다,진짜,Undirected,198,,25,"#ca0322"
맛있다,축제,Undirected,199,,44,"#cd0e2d"
맥주,바베큐,Undirected,200,,137,"#d9495f"
맥주,백종원,Undirected,201,,28,"#cb0424"
맥주,비싸다,Undirected,202,,30,"#cb0625"
맥주,사과,Undirected,203,,22,"#ca0121"
맥주,생각,Undirected,204,,22,"#ca0121"
맥주,시간,Undirected,205,,25,"#ca0322"
맥주,시장,Undirected,206,,59,"#cf1835"
맥주,아니다,Undirected,207,,42,"#cc0d2c"
맥주,안주,Undirected,208,,20,"#ca0020"
맥주,없다,Undirected,209,,48,"#cd112f"
맥주,영상,Undirected,210,,53,"#ce1432"
맥주,예산,Undirected,211,,322,"#f1bcc5"
맥주,오늘,Undirected,212,,30,"#cb0625"
맥주,음식,Undirected,213,,43,"#cc0e2c"
맥주,이다,Undirected,214,,24,"#ca0222"
맥주,좋다,Undirected,215,,46,"#cd102e"
맥주,지역,Undirected,216,,45,"#cd0f2d"
맥주,진짜,Undirected,217,,27,"#ca0423"
맥주,축제,Undirected,218,,527,"#868686"
맥주,페스티벌,Undirected,219,,106,"#d5354e"
맥주,편의점,Undirected,220,,31,"#cb0626"
맥주,한국,Undirected,221,,27,"#ca0423"
맥주,한잔,Undirected,222,,31,"#cb0626"
맥주,행복하다,Undirected,223,,23,"#ca0121"
먹거리,축제,Undirected,224,,27,"#ca0423"
멋있다,진짜,Undirected,225,,22,"#ca0121"
멋지다,백종원,Undirected,226,,27,"#ca0423"
멋지다,진짜,Undirected,227,,26,"#ca0323"
메뉴,예산,Undirected,228,,21,"#ca0020"
며못,이동,Undirected,229,,32,"#cb0726"
면서,이동,Undirected,230,,24,"#ca0222"
모두,축제,Undirected,231,,22,"#ca0121"
모집,이동,Undirected,232,,24,"#ca0222"
문제,예산,Undirected,233,,24,"#ca0222"
문화,장관,Undirected,234,,20,"#ca0020"
문화,축제,Undirected,235,,25,"#ca0322"
바가지,없다,Undirected,236,,49,"#cd122f"
바가지,축제,Undirected,237,,54,"#ce1532"
바베큐,시간,Undirected,238,,28,"#cb0424"
바베큐,시장,Undirected,239,,22,"#ca0121"
바베큐,아니다,Undirected,240,,36,"#cc0928"
바베큐,없다,Undirected,241,,44,"#cd0e2d"
바베큐,영상,Undirected,242,,20,"#ca0020"
바베큐,예산,Undirected,243,,80,"#d12540"
